,X,Y,Z
630,0.0,3.0625,1.1
631,0.955,5.845,0.5452
632,0.815,5.845,0.4136
633,1.645,5.845,1.1938
634,7.135,5.125,0.4925
635,0.0,3.0625,1.56
636,9.375,3.0625,0.75
637,1.865,5.845,1.4006
638,0.0,3.0625,1.37
639,8.575,5.625,1.56
640,9.375,3.0625,1.9
641,8.575,5.625,1.47
642,9.375,3.0625,1.76
643,8.575,5.625,1.39
644,9.375,3.0625,1.32
645,7.185,5.125,0.53
646,0.755,5.845,0.3572
647,9.375,3.0625,0.81
648,8.575,5.625,0.92
649,0.425,5.845,0.047
650,8.575,5.625,0.77
651,0.375,5.845,0.0
652,8.575,5.625,1.74
653,0.0,3.0625,1.85
654,9.375,3.0625,1.67
655,8.575,5.625,1.61
656,8.775,5.125,1.7225
657,9.375,3.0625,0.98
658,0.0,3.0625,1.83
659,1.555,5.845,1.1092
660,0.0,3.0625,1.09
661,8.575,5.625,1.02
662,9.375,3.0625,0.67
663,1.435,5.845,0.9964
664,7.035,5.125,0.4175
665,2.065,5.845,1.5886
666,7.595,5.125,0.8375
667,0.0,3.0625,1.17
668,9.375,3.0625,0.6
669,9.375,3.0625,0.69
670,7.735,5.125,0.9425
671,0.0,3.0625,1.71
672,0.0,3.0625,1.61
673,7.855,5.125,1.0325
674,7.795,5.125,0.9875
675,8.575,5.625,1.3
676,9.375,3.0625,1.6
677,9.375,3.0625,0.86
678,1.345,5.845,0.9118
679,0.745,5.845,0.3478
680,9.375,3.0625,1.14
681,0.0,3.0625,1.3
682,8.945,5.125,1.85
683,8.575,5.125,1.5725
684,0.0,3.0625,1.08
685,9.375,3.0625,0.62
686,6.955,5.125,0.3575
687,9.375,3.0625,0.96
